Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,200,427,246,2989,249.08,0.000%,.43039,0.17,0.12,416.0
登录事务,200,427,246,2989,249.08,0.000%,.43030,0.17,0.12,416.0
获取所有列表,200,90,25,5102,391.41,0.000%,.43065,38.01,0.23,90381.1
获取某个扫描任务报告详情,200,48,9,712,81.33,0.000%,.43075,0.11,0.18,252.0
获取任务事务,200,138,37,5287,420.24,0.000%,.43054,38.11,0.41,90633.1
创建扫描任务,200,919,417,22067,1666.22,0.000%,.43008,0.10,0.00,232.0
开始扫描任务,200,392,88,16692,1237.56,0.000%,.42774,0.10,0.19,232.0
扫描任务事务,200,1312,532,38759,2838.29,0.000%,.42647,0.19,0.19,464.0
退出登录,200,30,12,357,29.15,0.000%,.42776,0.09,0.16,222.0
调试取样器,200,0,0,2,0.38,0.000%,.42779,0.41,0.00,981.4
总体,2000,378,0,38759,1204.53,0.000%,4.25747,76.60,1.59,18422.9
