Elapsed time,10.8.1.186 CPU,10.8.1.186 Memory
19:29:37.0,0.643,3.828
19:29:38.0,0.215,3.829
19:29:39.0,0.571,3.828
19:29:40.0,0.285,3.829
19:29:41.0,0.964,3.832
19:29:42.0,0.285,3.831
19:29:43.0,0.25,3.831
19:29:44.0,0.535,3.831
19:29:45.0,0.25,3.831
19:29:46.0,0.893,3.835
19:29:47.0,0.696,3.834
19:29:48.0,0.375,3.834
19:29:49.0,0.303,3.834
19:29:50.0,0.339,3.833
19:29:51.0,0.679,3.837
19:29:52.0,0.837,3.837
19:29:53.0,0.572,3.84
19:29:54.0,0.571,3.839
19:29:55.0,0.5,3.841
19:29:56.0,0.785,3.843
19:29:57.0,0.75,3.843
19:29:58.0,0.589,3.843
19:29:59.0,0.375,3.842
19:30:00.0,1.214,3.844
19:30:01.0,0.375,3.843
19:30:02.0,0.446,3.843
19:30:03.0,0.285,3.842
19:30:05.0,0.912,3.845
